Sub_region	Depth_sizefrac	ERR_count	ERR_list	Assembly_group
MS-all	SRF-20-180.00	19	ERR1711860, ERR1711894, ERR1712016, ERR1712049, ERR1712052, ERR1712062, ERR1712140, ERR1719242, ERR550381, ERR550393, ERR550395, ERR550515, ERR550516, ERR550522, ERR550525, ERR550528, ERR550532, ERR550536, ERR550538	MS-all-SRF-20-180.00
MS-all	SRF-5-20.00	15	ERR1711874, ERR1711909, ERR1711910, ERR1711913, ERR1711936, ERR1711953, ERR1712063, ERR1712137, ERR1712179, ERR550384, ERR550389, ERR550394, ERR550398, ERR550531, ERR550533	MS-all-SRF-5-20.00
NAO-CARB	DCM-0.8-5.00	2	ERR1711939, ERR1712230	NAO-CARB-DCM-0.8-5.00
NAO-CARB	DCM-180-2000.00	1	ERR1719244	NAO-CARB-DCM-180-2000.00
NAO-CARB	DCM-20-180.00	2	ERR1712038, ERR1712165	NAO-CARB-DCM-20-180.00
NAO-CARB	DCM-5-20.00	2	ERR1712029, ERR1712111	NAO-CARB-DCM-5-20.00
NAO-CARB	SRF-0.8-5.00	3	ERR1719165, ERR1719326, ERR1719487	NAO-CARB-SRF-0.8-5.00
NAO-CARB	SRF-180-2000.00	1	ERR1719474	NAO-CARB-SRF-180-2000.00
NAO-CARB	SRF-20-180.00	1	ERR1711994	NAO-CARB-SRF-20-180.00
NAO-CHSB	DCM-180-2000.00	1	ERR1719309	NAO-CHSB-DCM-180-2000.00
NAO-CHSB	DCM-20-180.00	1	ERR1719150	NAO-CHSB-DCM-20-180.00
NAO-CHSB	DCM-5-20.00	1	ERR1719229	NAO-CHSB-DCM-5-20.00
NAO-CHSB	SRF-0.8-5.00	3	ERR1712041, ERR1712089, ERR1719197	NAO-CHSB-SRF-0.8-5.00
NAO-CHSB	SRF-180-2000.00	2	ERR1719402, ERR1719495	NAO-CHSB-SRF-180-2000.00
NAO-CHSB	SRF-20-180.00	2	ERR1712218, ERR1719192	NAO-CHSB-SRF-20-180.00
NAO-CHSB	SRF-5-20.00	3	ERR1711915, ERR1712099, ERR1712113	NAO-CHSB-SRF-5-20.00
NAO-GFST	SRF-0.8-5.00	3	ERR1719183, ERR1719199, ERR1719409	NAO-GFST-SRF-0.8-5.00
NAO-GFST	SRF-180-2000.00	3	ERR1719233, ERR1719397, ERR1719425	NAO-GFST-SRF-180-2000.00
NAO-GFST	SRF-20-180.00	2	ERR1712051, ERR1719273	NAO-GFST-SRF-20-180.00
NAO-GFST	SRF-5-20.00	2	ERR1712228, ERR1719203	NAO-GFST-SRF-5-20.00
NAO-NAST-E	DCM-0.8-5.00	3	ERR1719337, ERR1719371, ERR1719507	NAO-NAST-E-DCM-0.8-5.00
NAO-NAST-E	DCM-180-2000.00	1	ERR1712055	NAO-NAST-E-DCM-180-2000.00
NAO-NAST-E	DCM-20-180.00	2	ERR1712088, ERR1712158	NAO-NAST-E-DCM-20-180.00
NAO-NAST-E	DCM-5-20.00	2	ERR1719222, ERR1719432	NAO-NAST-E-DCM-5-20.00
NAO-NAST-E	MIX-0.8-5.00	14	ERR1711934, ERR1712010, ERR1719174, ERR1719178, ERR1719182, ERR1719201, ERR1719247, ERR1719305, ERR1719398, ERR1719417, ERR1719426, ERR1719460, ERR1719472, ERR1719506	NAO-NAST-E-MIX-0.8-5.00
NAO-NAST-E	MIX-180-2000.00	3	ERR1719339, ERR1719341, ERR1719500	NAO-NAST-E-MIX-180-2000.00
NAO-NAST-E	MIX-20-180.00	5	ERR1719151, ERR1719263, ERR1719264, ERR1719458, ERR1719490	NAO-NAST-E-MIX-20-180.00
NAO-NAST-E	MIX-5-20.00	4	ERR1712037, ERR1712210, ERR1719237, ERR1719275	NAO-NAST-E-MIX-5-20.00
NAO-NAST-E	SRF-0.8-5.00	5	ERR1719198, ERR1719331, ERR1719353, ERR1719440, ERR1719454	NAO-NAST-E-SRF-0.8-5.00
NAO-NAST-E	SRF-180-2000.00	4	ERR1711928, ERR1712116, ERR1719239, ERR1719370	NAO-NAST-E-SRF-180-2000.00
NAO-NAST-E	SRF-20-180.00	2	ERR1719220, ERR1719362	NAO-NAST-E-SRF-20-180.00
NAO-NAST-E	SRF-5-20.00	5	ERR1712004, ERR1712032, ERR1712047, ERR1712203, ERR1712222	NAO-NAST-E-SRF-5-20.00
NAO-NAST-W	DCM-0.8-5.00	1	ERR1719467	NAO-NAST-W-DCM-0.8-5.00
NAO-NAST-W	DCM-180-2000.00	1	ERR1719430	NAO-NAST-W-DCM-180-2000.00
NAO-NAST-W	DCM-20-180.00	1	ERR1719278	NAO-NAST-W-DCM-20-180.00
NAO-NAST-W	DCM-5-20.00	1	ERR1712060	NAO-NAST-W-DCM-5-20.00
NAO-NAST-W	MES-0.8-5.00	2	ERR1711960, ERR1711969	NAO-NAST-W-MES-0.8-5.00
NAO-NAST-W	SRF-0.8-5.00	7	ERR1711990, ERR1719163, ERR1719238, ERR1719258, ERR1719366, ERR1719478, ERR1719514	NAO-NAST-W-SRF-0.8-5.00
NAO-NAST-W	SRF-180-2000.00	6	ERR1712212, ERR1719177, ERR1719193, ERR1719209, ERR1719280, ERR1719289	NAO-NAST-W-SRF-180-2000.00
NAO-NAST-W	SRF-20-180.00	5	ERR1711997, ERR1719189, ERR1719266, ERR1719338, ERR1719400	NAO-NAST-W-SRF-20-180.00
NAO-NAST-W	SRF-5-20.00	4	ERR1711920, ERR1712083, ERR1712087, ERR1719382	NAO-NAST-W-SRF-5-20.00
NPO-all	DCM-0.8-5.00	19	ERR1711881, ERR1711883, ERR1711903, ERR1711927, ERR1711981, ERR1712036, ERR1712072, ERR1712091, ERR1712132, ERR1712162, ERR1719158, ERR1719169, ERR1719281, ERR1719299, ERR1719335, ERR1719359, ERR1719377, ERR1719449, ERR1719456	NPO-all-DCM-0.8-5.00
NPO-all	DCM-180-2000.00	10	ERR1711895, ERR1712082, ERR1712112, ERR1712114, ERR1712120, ERR1712239, ERR1719228, ERR1719292, ERR1719318, ERR1719470	NPO-all-DCM-180-2000.00
NPO-all	DCM-20-180.00	9	ERR1712020, ERR1712077, ERR1719147, ERR1719205, ERR1719245, ERR1719288, ERR1719350, ERR1719367, ERR1719481	NPO-all-DCM-20-180.00
NPO-all	DCM-5-20.00	10	ERR1711930, ERR1711979, ERR1712050, ERR1712066, ERR1719188, ERR1719190, ERR1719226, ERR1719436, ERR1719476, ERR1719497	NPO-all-DCM-5-20.00
NPO-all	MES-0.8-5.00	8	ERR1711864, ERR1711925, ERR1712000, ERR1712034, ERR1712058, ERR1712059, ERR1712098, ERR1712169	NPO-all-MES-0.8-5.00
NPO-all	SRF-0.8-5.00	26	ERR1711912, ERR1711975, ERR1711987, ERR1711988, ERR1712054, ERR1712149, ERR1712178, ERR1712193, ERR1719155, ERR1719171, ERR1719181, ERR1719185, ERR1719230, ERR1719235, ERR1719241, ERR1719252, ERR1719257, ERR1719294, ERR1719313, ERR1719314, ERR1719372, ERR1719379, ERR1719387, ERR1719406, ERR1719441, ERR1719455	NPO-all-SRF-0.8-5.00
NPO-all	SRF-180-2000.00	15	ERR1711873, ERR1711889, ERR1711926, ERR1711973, ERR1712163, ERR1712240, ERR1719167, ERR1719202, ERR1719286, ERR1719300, ERR1719304, ERR1719342, ERR1719419, ERR1719494, ERR1719505	NPO-all-SRF-180-2000.00
NPO-all	SRF-20-180.00	13	ERR1711940, ERR1712027, ERR1712117, ERR1712143, ERR1719166, ERR1719179, ERR1719200, ERR1719208, ERR1719270, ERR1719336, ERR1719422, ERR1719471, ERR1719485	NPO-all-SRF-20-180.00
NPO-all	SRF-5-20.00	15	ERR1711877, ERR1711972, ERR1712014, ERR1712040, ERR1719168, ERR1719176, ERR1719227, ERR1719277, ERR1719282, ERR1719363, ERR1719373, ERR1719394, ERR1719480, ERR1719493, ERR1719499	NPO-all-SRF-5-20.00
SAO-BENG	DCM-0.8-5.00	2	ERR1719352, ERR1719504	SAO-BENG-DCM-0.8-5.00
SAO-BENG	DCM-5-20.00	2	ERR1712181, ERR1712192	SAO-BENG-DCM-5-20.00
SAO-BENG	SRF-0.8-5.00	6	ERR1711906, ERR1711966, ERR1712205, ERR1712216, ERR1719253, ERR1719287	SAO-BENG-SRF-0.8-5.00
SAO-BENG	SRF-180-2000.00	4	ERR1719154, ERR1719180, ERR1719234, ERR1719452	SAO-BENG-SRF-180-2000.00
SAO-BENG	SRF-20-180.00	4	ERR1719302, ERR1719319, ERR1719464, ERR1719509	SAO-BENG-SRF-20-180.00
SAO-BENG	SRF-5-20.00	4	ERR1711971, ERR1712172, ERR1719296, ERR1719416	SAO-BENG-SRF-5-20.00
SAO-BRAZ	DCM-0.8-5.00	2	ERR1739841, ERR1739843	SAO-BRAZ-DCM-0.8-5.00
SAO-BRAZ	DCM-180-2000.00	2	ERR1719431, ERR1719435	SAO-BRAZ-DCM-180-2000.00
SAO-BRAZ	DCM-20-180.00	2	ERR1739844, ERR1739846	SAO-BRAZ-DCM-20-180.00
SAO-BRAZ	DCM-5-20.00	2	ERR1739840, ERR1739842	SAO-BRAZ-DCM-5-20.00
SAO-BRAZ	SRF-0.8-5.00	4	ERR1711967, ERR1712070, ERR1719446, ERR1719475	SAO-BRAZ-SRF-0.8-5.00
SAO-BRAZ	SRF-180-2000.00	2	ERR1719376, ERR1719489	SAO-BRAZ-SRF-180-2000.00
SAO-BRAZ	SRF-20-180.00	2	ERR1719330, ERR1719512	SAO-BRAZ-SRF-20-180.00
SAO-FKLD	DCM-0.8-5.00	2	ERR1711935, ERR1712021	SAO-FKLD-DCM-0.8-5.00
SAO-FKLD	DCM-180-2000.00	2	ERR1712106, ERR1712128	SAO-FKLD-DCM-180-2000.00
SAO-FKLD	DCM-20-180.00	2	ERR1711956, ERR1712008	SAO-FKLD-DCM-20-180.00
SAO-FKLD	SRF-0.8-5.00	8	ERR1712086, ERR1712127, ERR1712153, ERR1712231, ERR1719149, ERR1719424, ERR1740125, ERR1740126	SAO-FKLD-SRF-0.8-5.00
SAO-FKLD	SRF-180-2000.00	4	ERR1711892, ERR1712123, ERR1740119, ERR1740128	SAO-FKLD-SRF-180-2000.00
SAO-FKLD	SRF-20-180.00	2	ERR1712129, ERR1712204	SAO-FKLD-SRF-20-180.00
SAO-FKLD	SRF-5-20.00	4	ERR1712071, ERR1712085, ERR1712191, ERR1712194	SAO-FKLD-SRF-5-20.00
SAO-SATL	DCM-0.8-5.00	10	ERR1007417, ERR1007418, ERR1711887, ERR1711959, ERR1711970, ERR1712057, ERR1719269, ERR1719271, ERR1719407, ERR1719482	SAO-SATL-DCM-0.8-5.00
SAO-SATL	DCM-180-2000.00	8	ERR1711888, ERR1711891, ERR1712215, ERR1712236, ERR1719315, ERR1719369, ERR1719427, ERR1719466	SAO-SATL-DCM-180-2000.00
SAO-SATL	DCM-20-180.00	6	ERR1711863, ERR1711962, ERR1712001, ERR1712180, ERR1719195, ERR1719325	SAO-SATL-DCM-20-180.00
SAO-SATL	DCM-5-20.00	6	ERR1712056, ERR1712061, ERR1712119, ERR1712183, ERR1712186, ERR1712190	SAO-SATL-DCM-5-20.00
SAO-SATL	MES-0.8-5.00	2	ERR1712096, ERR1712202	SAO-SATL-MES-0.8-5.00
SAO-SATL	SRF-0.8-5.00	12	ERR1007415, ERR1007416, ERR1711908, ERR1711924, ERR1712031, ERR1712046, ERR1712094, ERR1712220, ERR1719344, ERR1719451, ERR1719484, ERR1719486	SAO-SATL-SRF-0.8-5.00
SAO-SATL	SRF-180-2000.00	10	ERR1711899, ERR1712223, ERR1719153, ERR1719173, ERR1719186, ERR1719260, ERR1719268, ERR1719285, ERR1719357, ERR1719508	SAO-SATL-SRF-180-2000.00
SAO-SATL	SRF-20-180.00	10	ERR1711876, ERR1712073, ERR1712079, ERR1712109, ERR1712156, ERR1712242, ERR1719225, ERR1719340, ERR1719418, ERR1719501	SAO-SATL-SRF-20-180.00
SAO-SATL	SRF-5-20.00	10	ERR1013384, ERR1013385, ERR1711870, ERR1711948, ERR1712039, ERR1712217, ERR1719221, ERR1719291, ERR1719442, ERR1719517	SAO-SATL-SRF-5-20.00
SAO-SSTC	DCM-180-2000.00	2	ERR1740116, ERR1740123	SAO-SSTC-DCM-180-2000.00
SAO-SSTC	DCM-20-180.00	2	ERR1740122, ERR1740129	SAO-SSTC-DCM-20-180.00
SAO-SSTC	DCM-5-20.00	2	ERR1740120, ERR1740121	SAO-SSTC-DCM-5-20.00
SAO-SSTC	SRF-0.8-5.00	2	ERR1740127, ERR1740138	SAO-SSTC-SRF-0.8-5.00
SAO-SSTC	SRF-20-180.00	2	ERR1739838, ERR1739839	SAO-SSTC-SRF-20-180.00
SO-all	DCM-0.8-5.00	4	ERR1712166, ERR1712195, ERR1719272, ERR1719345	SO-all-DCM-0.8-5.00
SO-all	DCM-180-2000.00	2	ERR1740134, ERR1740137	SO-all-DCM-180-2000.00
SO-all	DCM-20-180.00	2	ERR1719246, ERR1719469	SO-all-DCM-20-180.00
SO-all	DCM-5-20.00	2	ERR1711957, ERR1712160	SO-all-DCM-5-20.00
SO-all	SRF-0.8-5.00	8	ERR1711865, ERR1712028, ERR1719157, ERR1719162, ERR1740115, ERR1740117, ERR1740130, ERR1740133	SO-all-SRF-0.8-5.00
SO-all	SRF-180-2000.00	4	ERR1719196, ERR1719483, ERR1740124, ERR1740136	SO-all-SRF-180-2000.00
SO-all	SRF-20-180.00	4	ERR1719148, ERR1719491, ERR1740135, ERR1740139	SO-all-SRF-20-180.00
SO-all	SRF-5-20.00	2	ERR1712161, ERR1712238	SO-all-SRF-5-20.00
SPO-CHIL	DCM-0.8-5.00	2	ERR1719265, ERR1719386	SPO-CHIL-DCM-0.8-5.00
SPO-CHIL	DCM-180-2000.00	2	ERR1719250, ERR1719496	SPO-CHIL-DCM-180-2000.00
SPO-CHIL	DCM-5-20.00	1	ERR1712013	SPO-CHIL-DCM-5-20.00
SPO-CHIL	SRF-0.8-5.00	8	ERR1711938, ERR1711965, ERR1712009, ERR1712103, ERR1719223, ERR1719276, ERR1719329, ERR1719503	SPO-CHIL-SRF-0.8-5.00
SPO-CHIL	SRF-180-2000.00	4	ERR1719212, ERR1719320, ERR1719354, ERR1719457	SPO-CHIL-SRF-180-2000.00
SPO-CHIL	SRF-20-180.00	4	ERR1719206, ERR1719360, ERR1719468, ERR1719477	SPO-CHIL-SRF-20-180.00
SPO-CHIL	SRF-5-20.00	4	ERR1719215, ERR1719317, ERR1719444, ERR1719513	SPO-CHIL-SRF-5-20.00
SPO-PEOD	DCM-0.8-5.00	8	ERR1719146, ERR1719321, ERR1719324, ERR1719332, ERR1719333, ERR1719380, ERR1719420, ERR1719439	SPO-PEOD-DCM-0.8-5.00
SPO-PEOD	DCM-180-2000.00	4	ERR1711867, ERR1711875, ERR1711942, ERR1712101	SPO-PEOD-DCM-180-2000.00
SPO-PEOD	DCM-20-180.00	4	ERR1711902, ERR1711983, ERR1712095, ERR1712152	SPO-PEOD-DCM-20-180.00
SPO-PEOD	DCM-5-20.00	4	ERR1711862, ERR1711982, ERR1712003, ERR1712176	SPO-PEOD-DCM-5-20.00
SPO-PEOD	SRF-0.8-5.00	9	ERR1719172, ERR1719243, ERR1719311, ERR1719327, ERR1719364, ERR1719375, ERR1719405, ERR1719443, ERR1719515	SPO-PEOD-SRF-0.8-5.00
SPO-PEOD	SRF-180-2000.00	4	ERR1711989, ERR1712175, ERR1719308, ERR1719312	SPO-PEOD-SRF-180-2000.00
SPO-PEOD	SRF-20-180.00	4	ERR1711952, ERR1712067, ERR1719232, ERR1719438	SPO-PEOD-SRF-20-180.00
SPO-PEOD	SRF-5-20.00	4	ERR1712157, ERR1712174, ERR1719279, ERR1719396	SPO-PEOD-SRF-5-20.00
SPO-SPSG	DCM-0.8-5.00	18	ERR1711958, ERR1711961, ERR1711977, ERR1712025, ERR1712068, ERR1712093, ERR1712104, ERR1712124, ERR1712144, ERR1712201, ERR1712224, ERR1712225, ERR1719262, ERR1719355, ERR1739847, ERR1739848, ERR1740118, ERR1740132	SPO-SPSG-DCM-0.8-5.00
SPO-SPSG	DCM-180-2000.00	7	ERR1719187, ERR1719219, ERR1719290, ERR1719347, ERR1719358, ERR1740131, ERR1740140	SPO-SPSG-DCM-180-2000.00
SPO-SPSG	DCM-20-180.00	6	ERR1719211, ERR1719412, ERR1719479, ERR1719510, ERR1739836, ERR1739837	SPO-SPSG-DCM-20-180.00
SPO-SPSG	DCM-5-20.00	6	ERR1711885, ERR1711974, ERR1712108, ERR1712147, ERR1739845, ERR1739849	SPO-SPSG-DCM-5-20.00
SPO-SPSG	MES-0.8-5.00	2	ERR1711900, ERR1711964	SPO-SPSG-MES-0.8-5.00
SPO-SPSG	SRF-0.8-5.00	34	ERR1711869, ERR1711886, ERR1711904, ERR1711937, ERR1711985, ERR1712078, ERR1712118, ERR1712134, ERR1712182, ERR1719156, ERR1719159, ERR1719160, ERR1719161, ERR1719191, ERR1719194, ERR1719207, ERR1719213, ERR1719214, ERR1719217, ERR1719236, ERR1719256, ERR1719298, ERR1719301, ERR1719310, ERR1719316, ERR1719388, ERR1719389, ERR1719393, ERR1719395, ERR1719404, ERR1719428, ERR1719448, ERR1719459, ERR1719463	SPO-SPSG-SRF-0.8-5.00
SPO-SPSG	SRF-180-2000.00	20	ERR1711914, ERR1711917, ERR1711929, ERR1711951, ERR1711954, ERR1712081, ERR1712219, ERR1719175, ERR1719184, ERR1719204, ERR1719249, ERR1719295, ERR1719365, ERR1719368, ERR1719381, ERR1719385, ERR1719391, ERR1719403, ERR1719447, ERR1719462	SPO-SPSG-SRF-180-2000.00
SPO-SPSG	SRF-20-180.00	18	ERR1711884, ERR1711923, ERR1711949, ERR1711986, ERR1711992, ERR1712069, ERR1712102, ERR1712155, ERR1712197, ERR1712214, ERR1712241, ERR1719170, ERR1719297, ERR1719307, ERR1719410, ERR1719433, ERR1719445, ERR1719492	SPO-SPSG-SRF-20-180.00
SPO-SPSG	SRF-5-20.00	17	ERR1711879, ERR1711882, ERR1711897, ERR1711933, ERR1711941, ERR1711999, ERR1712115, ERR1712177, ERR1712207, ERR1719145, ERR1719254, ERR1719293, ERR1719343, ERR1719356, ERR1719401, ERR1719413, ERR1719437	SPO-SPSG-SRF-5-20.00
